Dates,News
14-11-2017,gold prices weighed down by tax reform uncertainty
12-07-2017,"August gold climbs $4.40, or 0.4%, to settle at $1,219.10/oz"
23-11-2017,citigroup bullish 2018 gold price outlook
27-07-2018,"august gold settles down $2.70, or 0.2%, at $1,223/oz."
20-09-2017,Gold inches up ahead of Fed policy statement
25-08-2017,Mnuchin viewed the solar eclipse atop $200 billion of Fort Knox gold
30-06-2017,"Gold down for the month, but gains for the first half of the year"
24-11-2017,Gold settles lower as the dollar slumps in Black Friday trade
06-06-2017,Gold posts highest finish in 7 months as havens find support
01-06-2017,gold to trade in 28776-29278: achiievers equities
10-11-2017,"Gold ends sharply lower on selling pressure, but logs weekly advance"
20-03-2017,Gold prices settle at a two and a half week high
23-07-2018,"Gold futures up at at Rs 30,188 per 10 gm"
16-10-2017,"December gold up 0.2% at $1,307.10/oz."
10-01-2018,"Gold edges down to Rs 30,475; silver plunges by Rs 400/kg"
25-04-2017,Gold ends at a more-than-2-week low as risky assets draw demand
28-11-2017,"Feb. gold edges up by 30 cents to settle at $1,299.20/oz"
08-08-2017,"December gold up 0.2% at $1,267.60/oz."
29-03-2018,"gold settles lower for the week, gains for the quarter"
16-06-2017,Gold futures end 1.2% lower for the week
19-04-2018,charts : gold rises on chart-based buying
09-06-2017,"Gold prices down at Rs 29,425; silver drops to Rs 40,125"
26-05-2017,gold bulls can expect more bad luck
09-10-2017,Gold prices extend gains on renewed U.S.-North Korea anxiety
24-11-2017,"December gold down 0.2% at $1,289.80/oz."
18-10-2017,Gold edges up from the settlement price after release of Fed Beige Book
16-03-2018,gold/silver ratio signals massive silver rally
19-05-2017,"june gold climbs 80 cents, or less than 0.1%, to settle at $1,253.60/oz"
28-07-2017,"Gold prices log highest finish since mid-June, up 1.1% for the week"
31-10-2018,"lbma : industry insiders bullish on gold, forecast of $1585 (radio)"
23-06-2017,"gold, silver move higher in morning trade"
26-11-2018,wealth management : the $200 trillion gold rush that has reshaped private banking
27-10-2018,"Gold hits 6-yr high of Rs 32,625/per 10 grams this week"
13-08-2018,state bank of india announces launch of revamped gold deposit scheme
27-09-2018,denver gold forum : where does gold go from here?
10-10-2018,Gold holds in narrow range as dollar takes breather
17-11-2017,"Profit-booking pulls gold futures down to Rs 29,560"
15-11-2017,gold imports fall 16% in october
20-07-2018,Gold slips for 6th straight session
09-10-2017,"gold prices gain in asia on demand from india, china"
12-01-2017,"Gold rings up fresh 7-week high, but loses grip on $1,200 level"
14-09-2017,"gold futures down 0.13% on weak global cues, profit-booking"
06-11-2018,"mining bitcoin is 3 times more expensive than mining gold, research paper finds"
19-10-2017,"dec. gold climbs $7, or 0.6%, to settle at $1,290/oz"
07-02-2017,Gold futures log highest finish since Nov. 10
28-11-2017,northern ireland : gold firm submits plans for its '$1bn' county tyrone mine
12-10-2018,why gold stocks were on fire today
29-11-2018,charts : gold - bearish pattern appears - time for cut & reverse strategy!
19-04-2018,uae vendors hope for tax relief on gold following drop in sales
11-01-2017,Gold prices trade solidly higher as U.S. dollar index marks session lows
15-08-2017,Gold prices log biggest one-session drop since July 7
05-04-2017,Gold extends early losses after ADP employment report
01-11-2017,Gold prices rise from Comex settlement after Fed statement
17-03-2017,Gold heads for first weekly gain in three as Fed signal hurts dollar
02-04-2018,"Gold jumps to Rs 31,460 on global cues, spot demand"
12-11-2017,Next subscription for sovereign gold bonds to begin from Nov 13
09-05-2017,Gold futures mark lowest finish since mid-March
29-10-2018,cftc : money managers left gold shorts at a record pace
15-02-2017,"Gold off $3.30, or 0.3%, at $1,222.20/oz., was trading flat ahead of data"
17-04-2017,Gold gains 3% in 4 sessions as global tensions drive 'haven' demand
09-11-2017,gold nudges up as dollar eases; palladium holds near multi-year peaks
06-10-2017,"Gold prices edge higher for the session, but end the week lower"
25-05-2018,ray dalio said last year gold was good protection because of trump and north korea 'playing chicken'
01-08-2017,Gold dips on profit-taking after touching 7-week high
05-09-2017,"gold edges up, hovers near 1-year high on haven demand"
27-09-2017,"December gold down 1% at $1,289.40/oz."
07-03-2017,Gold futures mark lowest settlement since Feb. 1
01-09-2017,"gold edges lower, but n.korea worries lend support"
23-03-2017,"April gold down $2.50, or 0.2%, to settle at $1,247.20/oz"
06-02-2018,world gold council : global gold demand dips 7% but jewellery demand up
31-01-2017,gold to trade in 28249-28697 range: achiievers equities
22-11-2017,"Dec. gold climbs $10.50, or 0.8%, to $1,292.20/oz ahead of settlement"
05-07-2017,"August gold trades at $1,222.30/oz, after $1,221.70 settlement before Fed minutes"
01-02-2017,Gold futures edge up in electronic trade as Fed offers few clues on next move
21-09-2017,"December gold trades 1.9% lower at $1,292.50/oz., on track for worst daily loss since July 3"
21-08-2018,gold at 1-week high as trump remarks on fed weigh on dollar
13-02-2017,"April gold falls $10.10, or 0.8%, to settle at $1,225.80/oz"
10-01-2018,inflation expectations play on gold in 2018
01-09-2017,Gold prices move 2.5% higher for the week
06-10-2017,"Dec. gold down $1.40, or 0.1%, to $1,271.80/oz"
16-08-2017,"gold slips on rising risk appetite, silver plunges over 1%"
16-06-2017,Gold steadies after rate hike sell-off
10-04-2017,"June gold falls $3.40, or 0.3%, to settle at $1,253.90/oz"
17-10-2017,"December gold down 1.2% at $1,287/oz."
24-07-2017,"Gold settles a few cents lower, ends six-session streak of gains"
01-02-2017,Gold futures settle lower ahead of Fed announcement
16-06-2017,"Gold import rebounds, again"
03-04-2017,Gold settles modestly higher as stocks stage retreat
05-07-2017,Gold futures prices settle higher ahead of FOMC minutes
21-12-2017,"gold hovers near 2-week high amid steady dollar, weaker stocks"
13-10-2017,gold extends rally ahead of us data; eyes 1st weekly gain in five
17-09-2018,zimbabwe : us$100 million gold centres on cards
01-02-2017,Gold tilts slightly lower after ADP's private-employment report
16-07-2017,these 3 charts show hedge funds losing faith in gold
23-11-2017,geopolitical risk highest 'in four decades' - gold demand in germany and globally to remain robust
01-09-2017,Gold futures up after Friday jobs report
14-06-2018,"india gold discounts widest in nine months, activity muted elsewhere"
13-12-2017,gold prices steady as sluggish inflation persists
05-12-2018,charts : gold breaks the 200 sma but faces further resistance above
16-02-2017,gold trades higher on soft dollar; likely to remain volatile in near term
06-07-2018,incrementum ag : now is the time to buy gold as negative sentiment is exhausted
27-11-2017,"Gold rises to Rs 30,550 on firm global cues, jewellers' buying"
26-09-2017,"Gold falls below $1,300 an ounce ahead of Comex settlement"
27-02-2017,Gold prices eke out 3rd gain in a row
13-06-2018,"august gold trades at $1,304/oz, after $1,301.30 comex settlement"
13-10-2017,"Gold rises after U.S. inflation, retail sales data"
13-08-2018,"gold to break 1200 finally, head towards 1172 fibonacci level"
03-09-2018,super bullish gold and silver setup does not bode well for the dollar...
27-09-2017,Gold marks fresh September low as dollar gains
24-09-2018,Gold edges lower as dollar holds firm
06-07-2017,"August gold up 0.3% at $1,224.90/oz."
24-04-2017,"gold, silver slip over 0.50%, prices to stay range bound"
01-03-2017,gold to trade in 29422-29722 range: achiievers equities
04-01-2019,free : interactive gold charts here ...
22-09-2017,"Gold ends slightly higher North Korea threat, but posts weekly decline"
18-10-2017,Gold prices settle lower ahead of Fed Beige Book release
15-06-2017,"August gold off 1.6% at $1,255.60/oz."
31-05-2018,"Gold slips to Rs 32,000; silver reclaims Rs 41K-mark"
19-11-2018,Gold steady as Fed caution on global economy pressures dollar
20-04-2018,"Gold slips as US rate rise hopes, easing global tensions weigh"
28-06-2017,"Hecla Mining estimates Q2 gold price $1,235/oz-$1,265/oz; gold futures up 0.2% at $1,249.60/oz"
20-10-2017,"Gold futures drop $4.90, or 0.4%, to $1,285.10 an ounce"
26-07-2017,Gold settles lower for a third session ahead of the Fed policy update
28-12-2017,gold may lose its sheen in 2018; here's why
06-08-2018,Gold extends rally as dollar steadies
13-09-2017,Gold prices finish lower for a third session in a row
15-05-2017,Gold adds to early gain after Empire State
16-05-2017,gold holds ground at two-week high
16-02-2017,Gold notches highest finish in more than 3 months
22-09-2017,"gold, silver gain amid north korea concerns"
27-04-2018,blockchain & the gold standard for a conflict-free supply chain
28-03-2018,"bullionvault : 'politics driving' gold spike but 'glass half full' stock rebound sinks price $15, gld shrinks"
24-11-2017,russian cenbank official: gold holdings support national security
23-09-2018,Higher MSP to drive 25% surge in gold demand: Report
20-08-2017,gold / silver / copper futures - weekly outlook: august 21 - 25
18-04-2018,"Akshaya Tritiya 2018: There are golden opportunities beyond just gold, say experts"
20-09-2018,Gold prices edge up as easing trade concerns hurt dollar
01-05-2018,mitsubishi : rising inflation could impact gold investors two different ways
27-01-2017,Gold pares loss after GDP reading
30-06-2017,"August gold settles at $1,242.30/oz, down $3.50, or 0.3%, for the session"
13-11-2018,dollar : surging dollar and sinking gold weighing on investors' minds
09-03-2018,gold dips on firm dollar amid hopes for easing u.s.-n.korea tensions
21-08-2018,"gold settles at 1-week high of $1,200 as trump comments hurt the dollar"
13-11-2017,Gold ends higher as global stock markets pull back
10-05-2018,iran's gold demand set for spurt before trump sanctions bite
15-11-2017,"Gold holds gain after economic reports on sales, inflation"
05-09-2017,Gold hovers near 1-year high on safe haven demand
15-05-2018,degussa market report : mr buffett on gold - viewed differently
11-04-2018,"Gold hits one-week high on dollar weakness, geopolitical tensions"
08-12-2018,"gold climbs by rs 250, silver firms up"
11-10-2018,Gold climbs Rs 130 on festive demand
06-08-2018,Rising gold dore imports to India to dent bank's market share
20-06-2017,"August gold down $3.20, or 0.3%, to settle at $1,243.50/oz"
28-09-2018,gold is doing something it hasn't done in nearly 30 years
17-01-2017,Gold futures mark highest finish in about 2 months
13-11-2017,"Dec. gold settles at $1,278.90/oz, up $4.70, or 0.4%"
14-05-2018,"Gold softens to Rs 32,285; silver down by Rs 100 per kg"
22-09-2017,"Gold gains amid N. Korea tensions, but heads for 2nd weekly decline"
15-10-2018,"Gold rebounds to Rs 32,250 on global cues, festive season buying"
12-01-2017,"Gold hits over 1-month high of Rs 29,250"
24-10-2017,Gold falls to lowest settlement in more than 2 weeks
22-11-2017,"Gold gets a boost from weaker dollar, holds gains after Fed minutes"
18-08-2017,"gold fails to hold above key $1,300 level, posts daily, weekly losses"
29-06-2017,Gold prices end lower after back-to-back gains
23-11-2018,ig / sharps pixley : what is the future of gold?
22-06-2017,Gold holds firm gain after solid jobless-claims report
29-08-2018,venezuela to offer gold ingot certificates as inflation skyrockets
01-07-2017,"agrm expresses concern at 'huge pricing disadvantage' faced by gold refineries, bullion importing banks"
08-05-2017,"gold, silver rise as euro gained after macron win in france"
09-08-2017,Gold holds sharp gain after data
18-08-2017,"Gold lower ahead of Comex settlement, reversing from earlier gains"
03-05-2017,"June gold down 0.2% at $1,254/oz."
19-01-2017,"Gold logs biggest one-day loss of the month, but holds above $1,200"
10-08-2017,"gold, silver up on safe-haven demand"
03-04-2017,Gold logs second straight gain as U.S. ISM data disappoint
14-03-2017,"April gold settles at $1,202.60/oz, down 50 cents, or less than 0.1%"
21-09-2017,gold futures slide rs 265 on weak global cues
17-10-2017,"gold futures down rs 124 on profit booking, global cues"
28-10-2017,"gold gains on local buying, global cues"
16-02-2018,world gold council : india's budget - policy & progress
09-05-2017,"June gold drops $11, or 0.9%, to settle at $1,216.10/oz"
11-10-2017,Gold takes back some lost ground after Fed meeting minutes
20-11-2017,is bitcoin the new gold?
01-06-2017,"August gold falls $5.30, or 0.4%, to settle at $1,270.10/oz"
14-02-2018,bitcoin : digital gold vs. real gold: time to use bitcoin to buy gold?
10-10-2018,Gold futures rise 0.27% on global cues
16-08-2017,gold treads lower ahead of fed minutes
17-01-2017,Gold holds strong gains after Empire State report
09-08-2018,eu parliament agrees to ease liquidity rules for gold trading
08-06-2017,"August gold down $13.70, or 1.1%, to settle at $1,279.50/oz"
14-06-2018,"Gold hits 2-week high on dollar's weakness, trade worries"
10-11-2017,turkey's gold-buying spree has market wondering how much and why
30-01-2018,gold : your weight in gold
15-09-2017,"December gold rises less than 0.1% at $1,329.50/oz."
17-05-2018,japan : 'semi-organized' crime groups tied to rise in gold smuggling
31-01-2018,gold futures retreat somewhat after private-sector employment report
17-10-2017,"goldman sachs feels even at 12% return, gold is still better than bitcoin"
26-07-2017,"Weak global cues pull gold futures down to Rs 28,384"
25-01-2018,lbma ponders blockchain use for gold supply tracking
01-12-2017,gold inches up on weaker dollar; improved risk appetite weighs
05-01-2017,"February gold up $9.50, or 0.8%, at $1,174.80/oz. after ADP report"
28-02-2017,Gold ticks lower; Trump's speech in focus
24-07-2018,cftc : speculative gold long smallest since january 2016
27-06-2018,russia and china are stockpiling gold
05-07-2018,strong wage growth friday could send gold lower
01-12-2017,Commerce Secretary for reviewing import duty on gold
28-06-2018,Gold hovers near 6-month low
04-05-2018,vaultoro's bitcoin-to-gold exchange implements lightning network payments
19-11-2017,Include 20 carat gold jewellery in hallmark standards: CAIT
05-01-2017,Gold futures log highest settlement in about 5 weeks
06-11-2018,"Gold prices steady, eyes on US midterm elections"
13-06-2018,ronald stoeferle : gold is dirt cheap right now
17-11-2017,Gold marks 1-month high as dollar retreats
31-05-2017,"gold ends higher, then pulls back as fed beige book ups odds of june rate hike"
18-09-2017,"Gold drops to Rs 30,700; silver down at Rs 41,200 per kg"
18-07-2017,Gold settles higher for a third session
05-10-2018,gold futures end the week roughly 0.8% higher
21-11-2017,"Dec. gold climbs $6.40, or 0.5%, to settle at $1,281.70/oz"
17-11-2017,"Gold falls to Rs 30,450 on weak demand from local jewellers"
18-11-2018,gold price could drive higher after dovish remarks from fed officials
12-01-2017,"Gold trades $4.50, or 0.4%, higher at $1,201.10/oz., after jobless claims, trade data"
16-05-2017,Gold rises for 4th as dollar eases on weak US data
27-03-2017,"April gold gains $7.20, or 0.6%, to settle at $1,255.70/oz"
25-01-2018,"Gold hits over 14-month high of Rs 31,450"
06-02-2017,Gold scores highest settlement in almost three months
23-05-2017,Gold prices trade near session lows on Comex
12-11-2018,Gold dips to one-month low as dollar strengthens
26-09-2017,"December. gold down $11.70, or 0.9%, at $1,299.80 an ounce"
16-03-2018,gold futures down 0.9% for the week
18-07-2017,Gold extends streak of price gains to a third session
15-05-2017,Gold futures log highest finish since May 3
05-01-2018,"february gold slips 0.3% at $1,318.30/oz."
08-09-2017,"Dec. gold climbs 90 cents, or less than 0.1%, to settle at $1,351.20/oz"
09-02-2017,"April gold up 0.1% at $1,241/oz."
24-04-2018,gold futures settle higher for first time in four sessions
16-03-2017,"April gold up $30.50, or 2.5%, at $1,231.20/oz."
23-06-2017,"August gold gains $7, or 0.6%, to settle at $1,256.40/oz"
24-03-2017,Gold holds losses after durable-goods orders
17-09-2018,mining gold requires 20x the energy of bitcoin mining
20-03-2018,"commerzbank : investors buy gold, silver etf as price retreats"
01-11-2017,"Dec. gold gains $6.80, or 0.5%, to settle at $1,277.30/oz"
20-04-2018,"gold trying to get above $1,355 as uncertainties on russian sanctions linger on"
19-04-2017,Gold futures log lowest finish since April 12
12-09-2017,Gold Prices Remain Slightly Lower in Risk-On Trade
16-10-2017,Gold prices give up earlier gains to settle modestly lower
04-12-2018,gold extends climb to multiweek highs as dollar index sinks
28-07-2017,"August gold rises 0.2% at $1,263/oz."
13-11-2017,gold slammed after someone pukes $4 billion notional in gold futures
07-03-2017,Gold futures settle at a nearly 5-week low
05-06-2017,Gold prices pare some of their earlier gains
22-11-2017,Gold remains in a narrow range ahead of Fed minutes
28-09-2017,"gold rate: check out latest gold price, trends, and market outlook"
10-03-2017,"gold, silver trade lower ahead of us jobs data"
18-01-2017,"Feb. gold down 80 cents, or less than 0.1%, to settle at $1,212.10/oz"
13-02-2017,gold to trade in 28822-29380 range: achiievers equities
08-11-2018,crypto mining costly than mining for gold and silver
24-05-2017,"Gold suffers back-to-back losses, sees knee-jerk reaction to Fed minutes"
04-03-2018,karatbank : company to link gold trade payment methods with cryptocurrency techniques
19-10-2018,Gold futures decline Rs 116 on profit-booking
07-12-2018,"Gold futures up at Rs 31,104 per 10 gm"
19-04-2017,Gold falls in electronic trade after Fed Beige Book release
31-03-2017,gold futures drop rs 72 on weak global cues; silver weakens in futures trade
12-01-2018,gold holds gain after economic reports
10-11-2017,"bnp paribas sees mid-2018 rally in gold, then price retreat"
28-08-2018,gold slightly lower as u.s. redrafts nafta
07-04-2017,"gold ends higher, but retreats from 5-month high as dollar strengthens"
14-11-2017,will december fed rate hike drive gold higher or lower?
06-04-2017,"Gold settles up $4.80, or 0.4%, at $1,253.30 an ounce"
31-03-2017,"Gold settles higher, books weekly, quarterly advance but ends March in the red"
03-11-2017,Gold ends at a nearly three-month low as dollar index strengthens
10-01-2017,"Gold pares gains, but still marks 6-week high"
08-12-2017,"gold rate today: gold, silver trade lower on weak demand"
07-02-2017,"April gold settles at $1,236.10/oz, up $4, or 0.3%"
12-09-2018,"Commodity Outlook: Crude oil trades higher on MCX; gold, silver in the red"
13-01-2018,sharps pixley: gold on a tear as dollar weakens - silver being left behind
12-02-2018,gold as a strategic asset
02-06-2017,"August gold climbs $10.10, or 0.8%, to settle at $1,280.20/oz"
16-09-2017,"gold down on weak global cues, low demand"
25-09-2017,"Dec. gold gains $14, or 1.1%, to settle at $1,311.50/oz"
30-11-2017,"Feb. gold settle at $1,276.70/oz, down $9.50, or 0.7%"
12-04-2018,bundesbank pulls all stops to show germans their gold is real
14-10-2017,"gold rises on firm global cues, festive season buying"
24-08-2017,Gold eases ahead of Jackson Hole central bankers meet
18-01-2017,"February gold up 50 cents, or less than 0.1%, at $1,212.50/oz."
18-04-2018,"gold settles at a one-week high, holds gains in electronic trade after fed beige book"
03-08-2018,"december gold rises 0.2% at $1,222.80/oz."
31-10-2018,"december gold finishes off $10.30, or 0.8%, at $1,215/oz."
20-10-2017,"Dec. gold loses $9.50, or 0.7%, to end at $1,280.50/oz for the session"
21-06-2018,bearish 'death cross' is forming in gold even as trade turmoil rattles stock market
26-10-2018,royal mint : uk government vetoes royal mint's launch of digital gold after cme exit
23-03-2018,"gold futures log highest finish since feb. 16, up 2.9% on week"
30-03-2017,Gold prices finish lower as dollar strengthens
24-10-2017,"gold, silver edge higher in morning trade"
26-09-2017,gold rate today: track gold price per gram
20-02-2018,Gold Prices Still Under Pressure on Stronger Dollar
23-04-2018,"Gold hits two-week low as US yields approach 3%, lifting dollar"
05-05-2017,Gold futures lose about 3.3% for the week
12-12-2017,cash for gold makes way for e-payments
05-12-2018,palladium price hits record high and gets within $10 of gold
10-01-2018,gold inches down on higher u.s. treasury yields
23-10-2017,Gold Star widow Myeshia Johnson says Trump's call 'made me cry even worse'
03-10-2018,commerzbank looks for higher gold prices vs. euro
01-03-2017,Gold holds early losses after data
19-04-2018,"Gold flat, dollar up on higher US yields"
18-01-2018,gold stays in the green near $1330 as wall street slides
15-09-2017,Gold prices lose about 1.9% for the week
04-10-2018,"Gold futures fall 0.07% on weak global cues, profit-booking"
26-06-2017,Gold prices snap 3-session winning streak
26-09-2018,Gold inches down as dollar firms; US Fed in focus
21-12-2018,"gold dips on day, but up 1%+ for the week on fed hike worries"
12-04-2017,"June gold climbs $3.90, or 0.3%, to settle at $1,278.10/oz"
04-10-2018,"Gold futures down at Rs 31,340 per 10 gm"
15-09-2017,"Gold ends at September low, down nearly 2% for the week"
28-08-2017,"Gold tops $1,300, closes at 11-month high"
31-10-2017,Gold Prices Remain Lower as Dollar Strengthens
17-11-2017,Gold prices end the week nearly 1.8% higher
09-01-2018,10 reasons why you should add to your gold holdings
16-01-2017,Gold rises to 8-week high as traders focus on Trump and Brexit
04-12-2017,"Gold ends lower as tax-cut progress lifts U.S. dollar, stocks"
26-03-2018,cftc : gold speculators continued to shed bullish net positions this week
04-10-2017,"gold trades higher; may witness pullback till rs 29,800"
02-08-2017,gold trades higher in morning trade; silver down
13-01-2017,Gold futures end the week with a gain of about 1.9%
10-10-2018,tocqueville gold strategy third quarter 2018 investor letter
15-05-2018,uae trader looking to expand into gold refining in africa
14-06-2018,"august gold climbs $7, or 0.5%, to settle at $1,308.30/oz"
28-03-2017,"April gold settles at $1,255.60/oz, down 10 cents for the session"
09-04-2018,"june gold settles at $1,340.10/oz, up $4, or 0.3%"
09-12-2018,gold / silver / copper prices - weekly outlook: december 10 - 14
23-04-2018,turkey's gold repatriation 'sign of coming end' of us-dominated monetary system
26-04-2018,"gold near five-week lows, trapped by stronger dollar"
13-12-2018,charts : gold prices struggle to make good on us dollar downturn
19-04-2018,"india : gold price rally, cash crunch dulls akshaya tritiya festival buying"
02-06-2017,Gold sees highest close since April after weak jobs report
08-09-2017,"Gold bulls are looking for a 'major breakout' above $1,400 an ounce"
31-01-2017,Gold futures score best monthly gain since June
22-02-2017,gold steady as investors look for rate hike clues from fed
13-08-2018,"gold hits 1.5-yr. low below $1,200; fx turmoil no support"
22-08-2017,gold slides as traders look ahead to jackson hole speeches
14-02-2018,ig : is the gold price heading higher?
06-10-2017,gold hits 2-month low as dollar gains ahead of us jobs data
01-06-2017,"August gold down $8.50, or 0.7%, at $1,266.90/oz after $1,263.70 low"
26-04-2018,gold beats miners
21-03-2018,Gold Prices Move Higher Ahead of Fed Statement
04-04-2018,indians holding on to their gold
25-05-2017,gold gains slightly in asia with china demand in focus
31-05-2017,Gold edges down a few cents from their settlement level after Fed Beige Book
04-05-2018,coins : gold & silver eagle sales drop sharply due to central bank intervention
13-01-2017,"Feb. gold settles at $1,196.20/oz, down $3.60, or 0.3%"
08-03-2017,Gold futures hold modest loss after strong private-payrolls report
21-02-2018,"Gold extends losses, down Rs 200"
17-07-2017,"Gold futures rise to Rs 28,237 on positive global cues"
18-07-2018,gold etf holdings plunge to lowest level since march
05-04-2018,gold slips as fears ease over us-china trade conflict
11-12-2017,commerzbank : what are the key factors to drive gold in 2018?
05-01-2018,mitsubishi : gold prices mark highest january opening since 2013
21-06-2017,Gold settles higher for first time in three sessions
05-10-2018,"Gold little changed, US non-farm payroll data in focus"
25-04-2017,Gold prices settle at lowest level in more than 2 weeks
11-08-2017,"Gold marks highest finish since early June, up more than 2% for the week"
17-10-2017,Options trading to help formalise gold trade: Jaitley
14-08-2018,Gold stabilises as dollar pulls back from 13-month high
25-08-2017,Gold ends at a nearly 3-month high as dollar weakens
05-06-2018,"gold slips on sluggish demand, weak global cues"
21-06-2017,Gold rebounds after 2-session drop to lowest since mid May
28-04-2017,broader trend in gold to remain positive; dip in prices a good opportunity to buy
06-06-2017,gold may touch 4-year high on `gentle' fed
05-04-2018,"metals focus : gold price to reach $1,450 before year end"
18-07-2017,gold prices mark third-straight session climb
27-04-2018,bundesbank  has brought home $95 billion in gold bullion and put some on show to prove it's real
29-01-2017,time to come out with comprehensive gold policy: y v reddy
18-08-2017,"Gold prices fail to hold above key $1,300 level"
16-08-2017,Gold ends higher as Trump disbands 2 White House advisory groups
12-10-2018,gold futures end the week 1.4% higher
04-09-2018,"Gold prices slip as trade, emerging market worries lift dollar"
05-07-2017,"August gold gains $2.50, or 0.2%, to settle at $1,221.70/oz"
16-07-2018,gold gains as dollar slips ahead of trump-putin meeting
24-01-2017,World Bank forecasts 2017 average oil price of $55; gold prices set for 8% fall this year
05-11-2018,Gold futures slide on weak global cues
11-12-2017,"gold hangs above 2016 low despite btc (now in bitcon futures), brexit deal,tax bill, and fund pukers"
27-03-2018,sprott gold report : gold resilient despite market volatility
25-01-2017,Gold ends at a nearly 2-week low as U.S. stock indexes trade in record territory
14-11-2017,"Dec. gold down 60 cents, or less than 0.1%, to $1,278.40/oz"
21-06-2018,"russia buys 600,000 oz of gold in may after dumping half of us treasuries in april"
10-04-2017,highland gold mining swings to 2016 profit
04-05-2017,India's gold demand rises 15% to 123.5 tonnes in Q1: WGC
19-01-2017,"February gold slumped $9, or 0.7%, at $1,203/oz."
27-06-2017,Gold prices pare much of their gains by the session's settlement
16-02-2017,Gold futures finish at a more than 3-month high
23-06-2018,gold edges up from six-month lows as the dollar slips
04-07-2017,gold prices up in asia ahead of u.s. holiday
08-03-2018,gold ends lower for second day
14-08-2018,india's july gold imports surge as jewellers replenish inventory
22-08-2017,tale of two assets: why gold's rally against oil is just beginning
21-09-2018,"Gold futures rise to Rs 30,952 on firm global cues"
13-01-2017,"Gold hits 6-week high of Rs 29,450 on global cues"
21-11-2017,Gold regains some lost ground as dollar struggles
09-10-2017,Gold hits 1-week high amid renewed North Korea fears
05-07-2018,Gold prices
21-11-2018,"Sliding Re, low demand likely behind slump in gold prices"
07-12-2017,more strange and disturbing action in the paper gold market
13-12-2017,vietnam : new sbv decree to ease gold trading regulations
31-08-2018,gold prices gain as trump considers imposing tariffs on $200b in chinese goods
21-01-2018,sprott sees renewed interest in gold as stocks keep rallying
27-07-2018,"Gold falls to Rs 29,913 at futures trade"
31-01-2018,frank holmes : 2018 good for gold says wgc
02-05-2018,us mint : april lackluster for gold and silver eagles
19-05-2017,Gold futures end the week about 2.1% higher
19-04-2018,"Buy gold if it dips to $1,335/oz"
07-04-2017,"Gold ends day, week higher, but pares firmer gain on dollar strength"
10-11-2017,"Gold ends sharply lower, but registers weekly gain"
29-01-2018,"Gold Prices Struggle to Find Footing as Dollar, Bond Yields Advance"
30-01-2019,Gold rises for 4th day in a row
10-02-2017,Gold slips to 3-week low on weak global cues
20-09-2017,Gold prices slide in electronic trading after Fed keeps rates unchanged
02-01-2019,"Gold hits over 6-month high on falling dollar, equities"
04-12-2017,"venezuela announces 'the petro' currency backed by gold, oil and diamonds"
31-01-2017,Gold futures climb more than 5% for the month
07-07-2017,Gold prices settle roughly 2.6% lower for the week
16-04-2018,$1360 : gold's brick wall
16-03-2017,Gold holds sharp gains after U.S. data
14-11-2017,bitcoin : internet shutdowns show physical gold is ultimate protection
10-01-2017,"gold pares some gains by the finish, but ends at a 6-week high"
06-01-2017,"Feb. gold settles at $1,173.40/oz, down $7.90, or 0.7%, for the session"
04-04-2017,should you invest in gold right now?
19-07-2017,"August gold down 0.1% at $1,240.60/oz."
25-09-2018,etfs : top 6 low cost gold etfs
16-03-2018,Gold Prices Litttle Changed Despite Dollar Weakness
03-01-2017,"Feb. gold falls $1.20, or 0.1%, to $1,150.50/oz"
30-08-2017,gold dips in asia as investors note un security council rap of nkorea
11-08-2017,Gold up for fourth straight session on North Korea tensions
27-07-2017,gold rises to six-week high as dollar drops after fed statement
13-03-2018,gold prices slip as investors await u.s. cpi data
08-12-2017,"government fixes sovereign gold bond rate at rs 2,890/gram"
20-12-2017,"Gold slips to Rs 29,690 on weak spot demand"
21-02-2018,"Gold futures decline to Rs 30,437 on weak global cues"
26-05-2017,"gold at highest since may 1 on political uncertainty, dollar"
24-08-2018,"dec. gold gains $19.30, or 1.6%, to settle at $1,213.30/oz"
02-02-2017,"Gold on track to hit 12-week high, up 1.5% at 1,226.50/oz."
18-05-2017,"Gold pares gains slightly after jobless-claims, Philly Fed report"
04-09-2018,gold drops near session low after ism manufacturing data
17-02-2017,"Gold steady on weaker dollar, set for 3rd week of gains"
20-09-2017,Trump's North Korea threat lifts gold ahead of Fed statement
25-05-2017,Gold holds steady as dollar slips after Fed minutes
01-12-2017,Gold prices rally in late morning dealings as U.S. dollar weakens
13-04-2017,Gold prices stretch rally in to a third straight session
27-06-2018,"gold hits fresh 2018 low, rsi at lowest since december 2016"
25-01-2019,"Wedding season pushes gold prices by Rs 90 to Rs 33,300 "
31-07-2017,"December gold ends 0.1% lower at 1,275.30 an ounce"
19-12-2018,gold may break with tradition rallying into a fed hike: chart
08-08-2018,gerhard schubert joins physical gold fund
23-05-2018,"gold prices finish lower, then edge up after fed meeting minutes"
16-11-2018,"Gold futures rise to Rs 30,875; silver spurts Rs 187 per kg"
20-11-2017,australia gold output to peak in 2021
14-02-2017,Gold ekes out a loss to tally fourth straight session decline
10-04-2017,"Gold edges down on strong dollar, but geopolitical tensions support"
04-09-2017,"Gold jumps 1% to $1,343.50 an ounce after North Korea nuclear test"
04-10-2017,Trump's saber-rattling is the big reason you should own some gold
